2026-07-28 02:26:30 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:26:30 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:29:04 | INFO     | Anwendung wird beendet
2026-07-28 02:29:54 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:30:09 | INFO     | Anwendung wird beendet
2026-07-28 02:32:08 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:33:16 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:33:16 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:35:09 | INFO     | Anwendung wird beendet
2026-07-28 02:37:25 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:37:36 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:37:36 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:40:34 | INFO     | Anwendung wird beendet
2026-07-28 02:40:43 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:40:50 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:40:50 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:41:28 | INFO     | Anwendung wird beendet
2026-07-28 02:41:35 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:41:43 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:41:43 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:42:40 | INFO     | Anwendung wird beendet
2026-07-28 02:42:52 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:42:57 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:42:57 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:45:24 | INFO     | Anwendung wird beendet
2026-07-28 02:45:33 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:45:41 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:45:41 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:45:54 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:45:54 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:46:47 | INFO     | Anwendung wird beendet
2026-07-28 02:46:56 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
2026-07-28 02:47:07 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:47:07 | INFO     | PDF erstellt: C:\Users\sonde\Desktop\Python Projekte\FerdlWorks\data\pdfs\RG_RG-2026-0002_20260728.pdf
2026-07-28 02:49:14 | INFO     | FerdlWorks v1.0.13 gestartet (Master-Mode: False)
